source_id,song_id,section,section_type,section_index,start_time,end_time,genre,mood,instruments,energy,narrative_role,license,description
10152023_-_018_-__FREE__Big_Scarr_x_Fto_Sett_Type_Beat___Big_Scarr_Freestyle_Type_Beat_-__More_Problems_seg000,"10152023 - 018 - [FREE] Big Scarr x Fto Sett Type Beat | Big Scarr Freestyle Type Beat - ""More Problems""",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 121 BPM, G major, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_018_-__FREE__Big_Scarr_x_Fto_Sett_Type_Beat___Big_Scarr_Freestyle_Type_Beat_-__More_Problems_seg001,"10152023 - 018 - [FREE] Big Scarr x Fto Sett Type Beat | Big Scarr Freestyle Type Beat - ""More Problems""",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 121 BPM, G major, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_018_-__FREE__Big_Scarr_x_Fto_Sett_Type_Beat___Big_Scarr_Freestyle_Type_Beat_-__More_Problems_seg002,"10152023 - 018 - [FREE] Big Scarr x Fto Sett Type Beat | Big Scarr Freestyle Type Beat - ""More Problems""",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 121 BPM, G major, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_018_-__FREE__Big_Scarr_x_Fto_Sett_Type_Beat___Big_Scarr_Freestyle_Type_Beat_-__More_Problems_seg003,"10152023 - 018 - [FREE] Big Scarr x Fto Sett Type Beat | Big Scarr Freestyle Type Beat - ""More Problems""",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 121 BPM, G major, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_018_-__FREE__Big_Scarr_x_Fto_Sett_Type_Beat___Big_Scarr_Freestyle_Type_Beat_-__More_Problems_seg004,"10152023 - 018 - [FREE] Big Scarr x Fto Sett Type Beat | Big Scarr Freestyle Type Beat - ""More Problems""",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 121 BPM, G major, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_018_-__FREE__Big_Scarr_x_Fto_Sett_Type_Beat___Big_Scarr_Freestyle_Type_Beat_-__More_Problems_seg005,"10152023 - 018 - [FREE] Big Scarr x Fto Sett Type Beat | Big Scarr Freestyle Type Beat - ""More Problems""",outro,outro,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 121 BPM, G major, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_019_-_No_Cap_x_Gunna_Type_Beat_-_La_Pacho_seg000,10152023 - 019 - No Cap x Gunna Type Beat - La Pacho,intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 121 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_019_-_No_Cap_x_Gunna_Type_Beat_-_La_Pacho_seg001,10152023 - 019 - No Cap x Gunna Type Beat - La Pacho,verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 121 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_019_-_No_Cap_x_Gunna_Type_Beat_-_La_Pacho_seg002,10152023 - 019 - No Cap x Gunna Type Beat - La Pacho,hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 121 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_019_-_No_Cap_x_Gunna_Type_Beat_-_La_Pacho_seg003,10152023 - 019 - No Cap x Gunna Type Beat - La Pacho,verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 121 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_019_-_No_Cap_x_Gunna_Type_Beat_-_La_Pacho_seg004,10152023 - 019 - No Cap x Gunna Type Beat - La Pacho,outro,outro,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 121 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_020_-__FREE__Gunna_x_Young_Thug_Type_Beat__Exotics_seg000,"10152023 - 020 - (FREE) Gunna x Young Thug Type Beat ""Exotics""",intro,intro,1,0.0,30.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.30,sparse opening,owned,"intro, 125 BPM, C minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_020_-__FREE__Gunna_x_Young_Thug_Type_Beat__Exotics_seg001,"10152023 - 020 - (FREE) Gunna x Young Thug Type Beat ""Exotics""",verse,verse,2,30.0,60.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 125 BPM, C minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_020_-__FREE__Gunna_x_Young_Thug_Type_Beat__Exotics_seg002,"10152023 - 020 - (FREE) Gunna x Young Thug Type Beat ""Exotics""",hook,hook,3,60.0,90.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 125 BPM, C minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_020_-__FREE__Gunna_x_Young_Thug_Type_Beat__Exotics_seg003,"10152023 - 020 - (FREE) Gunna x Young Thug Type Beat ""Exotics""",verse,verse,4,90.0,120.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 125 BPM, C minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_020_-__FREE__Gunna_x_Young_Thug_Type_Beat__Exotics_seg004,"10152023 - 020 - (FREE) Gunna x Young Thug Type Beat ""Exotics""",hook,hook,5,120.0,150.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 125 BPM, C minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_020_-__FREE__Gunna_x_Young_Thug_Type_Beat__Exotics_seg005,"10152023 - 020 - (FREE) Gunna x Young Thug Type Beat ""Exotics""",outro,outro,6,150.0,180.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.25,closing,owned,"outro, 125 BPM, C minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
